time,actual_x,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
2003.5000,104.83713004,104.00327545,97.13205641,102.47089236,100.65753424,100.24479250,107.33620961,101.74388576,103.57681465
2003.7500,107.16231044,106.30651004,96.51982319,103.20424902,100.50217661,100.17445720,110.33170792,103.18564441,105.95986375
2004.0000,108.48288407,106.67223287,96.44212692,104.29008073,100.46662021,101.11068397,111.83600747,103.42021361,107.35607911
2004.2500,107.92174888,106.44224278,96.68683417,103.89159043,100.35208469,100.86218608,111.03887506,103.33846324,106.98330117
2004.5000,109.82845662,106.75930975,95.95736341,106.91835743,99.99610678,102.65044876,114.20583752,102.49774985,109.59317724
2004.7500,110.33874289,106.92753412,96.10999616,107.35033880,99.83702529,103.06009864,114.65989651,102.65419127,110.37951282
2005.0000,111.21343410,107.51767107,96.24506582,108.15051187,99.41210063,103.52610868,115.65149865,102.92032750,111.96711496
2005.2500,112.25476506,107.81395654,95.39042770,109.40662852,99.69541793,104.08743879,117.64365537,102.57220019,112.56363467
2005.5000,111.53471549,106.81722177,96.16426616,109.19777825,99.53351239,104.55291462,116.13515408,102.27361807,112.20393613
2005.7500,111.61016159,106.80295464,96.79650269,108.98912595,99.28516833,104.76993868,115.60065392,102.66839844,112.70302701
2006.0000,112.25171470,107.05744366,96.91531476,110.14400040,98.76143255,105.44363712,116.47824979,102.48879829,114.30095685
2006.2500,113.38663645,106.84442976,96.63153849,111.38535669,99.06538519,106.63877896,117.90932554,102.29135918,115.01251933
2006.5000,111.96321887,105.82151587,97.20551254,110.53512824,99.01683786,106.39127657,115.82147831,101.85437283,113.70274396
2006.7500,110.40888561,104.74039648,97.64077676,109.92996694,98.88325208,106.13184967,113.84886913,101.12158062,112.41834972
2007.0000,108.61844482,103.41293772,98.20627896,107.75263641,99.59086401,105.37642571,110.96322827,101.13242805,109.42053628
2007.2500,106.91932818,102.18072589,98.53929988,106.98516348,99.63265356,105.02325059,108.90428483,100.30691763,107.70918567
2007.5000,107.17053211,102.77577951,97.90464293,107.06701717,99.74323187,104.54401828,109.74548960,100.35390223,107.72252684
2007.7500,106.04553677,102.62581066,98.12075864,105.37360936,100.00169338,103.38582457,108.13261338,100.68986079,106.09874393
2008.0000,103.94198633,101.87010063,98.96425414,102.90027110,100.13014757,101.96067049,104.95449952,100.93990669,103.73243240
2008.2500,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
2008.5000,98.30092857,100.39496619,100.33315659,97.30082688,100.06687179,97.70284727,97.76303649,100.80977072,98.02319063
2008.7500,95.14757535,99.44815706,99.86191100,95.03242075,100.35731595,95.26741852,94.87270076,99.69407413,94.40437012
2009.0000,88.16131484,95.33361550,98.45626445,91.39423575,101.70155551,91.55976866,88.65584968,95.50628340,85.82684637
2009.2500,81.01814558,94.05068689,97.49746398,84.04007027,102.96331840,84.43539996,81.45039922,94.49310713,77.12656786
2009.5000,77.36257383,94.07131286,97.69190235,79.24830088,103.41318693,80.16696041,77.19586816,95.16180322,72.92504406
2009.7500,76.83986953,95.12274703,97.00063076,78.44967230,103.22189124,78.69517154,77.17167235,95.42042274,72.52047802
2010.0000,78.71675923,97.02791683,94.82186031,80.52029786,103.21746832,78.99828305,80.83619971,95.19387088,74.26106222
2010.2500,79.31399279,96.64420220,94.44286972,82.04761304,103.05627744,80.08978353,81.95656545,94.33806722,75.10666430
2010.5000,81.60270062,96.67211009,93.33940283,85.57254770,103.03169327,82.57427362,85.52260919,93.28493173,77.47741512
