time,actual_h,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
2005.2500,98.96489883,100.54460380,96.46162644,102.59947071,99.36989444,98.42034586,102.58623087,96.44917865,99.58383005
2005.5000,99.41377654,100.52100263,97.24236061,102.54352492,99.15727228,98.93540013,102.27112500,96.98404287,100.29607903
2005.7500,99.67141384,100.57277330,97.84960559,102.48755575,98.84883976,99.17650991,101.93660555,97.32358797,100.90615805
2006.0000,99.64687297,100.72003794,98.33241333,102.79638607,97.99866868,99.09357939,101.49968600,97.09202295,101.84535372
2006.2500,100.04054153,100.62463646,98.01671305,103.12577344,98.47315379,99.55719192,102.20610273,97.14260470,101.73235911
2006.5000,100.20650175,100.57618473,98.54602226,102.90045474,98.40561459,99.79002941,101.84581987,97.53601631,101.99113612
2006.7500,100.24650513,100.55070295,99.06299892,102.73932565,98.15800781,99.89135538,101.39149946,97.76340207,102.32630252
2007.0000,100.67878428,100.28574594,99.01882603,102.15429731,99.35960963,100.48531553,101.77099879,98.64729227,101.42194461
2007.2500,100.73959826,100.20775411,99.35622882,101.94607150,99.37626682,100.63640218,101.49889910,98.92041641,101.47843310
2007.5000,100.31651864,100.22269982,98.74675208,101.96833026,99.49887148,100.16696495,101.66414033,98.45217269,100.89565350
2007.7500,100.19200485,100.14815063,98.63368963,101.50533647,99.95723326,100.05859899,101.59493862,98.72075687,100.24970996
2008.0000,100.22419872,100.06814645,99.09095982,100.81945184,100.24450494,100.13543571,101.12292245,99.38922760,99.95926911
2008.2500,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
2008.5000,99.43982016,100.01183870,99.94758815,99.22196620,100.17404067,99.36673766,99.43061482,100.15776264,99.20584288
2008.7500,98.50576191,99.91110243,99.40425495,98.55608377,100.46055791,98.47316906,98.97526908,99.82704775,97.93458334
2009.0000,97.14040831,99.39106303,97.87125131,97.46398362,102.07316826,97.45796668,98.97136063,99.38492712,94.89713187
2009.2500,94.66779549,99.06333216,96.01896215,95.15780660,103.82944182,95.01826609,98.03090810,98.91806454,90.65661810
2009.5000,93.39665927,98.98369445,95.49863550,93.57641158,104.55915237,93.67104235,97.08940642,99.08379343,88.67617635
2009.7500,92.47527845,99.12409995,94.95502117,93.30624870,104.14628396,92.59879083,96.66441736,98.37253050,88.13345467
2010.0000,91.63420589,99.27767135,93.37154095,94.00271824,103.88827413,91.60269369,97.39693729,96.74296966,87.53732984
2010.2500,91.88169348,99.30936032,93.41890097,94.50828301,103.49330277,91.87849944,97.67182992,96.54598218,88.16411075
2010.5000,92.36694373,99.33221848,92.95818500,95.64993371,103.26123636,92.40552022,98.74165813,95.96290313,88.88955475
2010.7500,92.52170569,99.36042196,92.72435688,96.17197192,103.05935381,92.56796174,99.19283398,95.63692576,89.24557935
2011.0000,92.45330983,99.39018549,92.95822999,95.73280085,103.06624317,92.45173108,98.84864097,95.98376543,89.15426059
2011.2500,92.64221427,99.44709252,94.16008601,95.40564486,102.26225639,92.66812163,97.87135564,96.59360595,90.11707340
2011.5000,92.68834080,99.51640959,94.03653928,95.61771865,102.08146447,92.66227501,98.06206167,96.44046149,90.33390108
2011.7500,92.86092449,99.50660618,94.30200555,95.58580467,101.97186206,92.86272818,97.98789398,96.67183274,90.61769330
2012.0000,93.34863529,99.60970440,93.76708424,96.98289679,101.51306989,93.33418377,99.14982993,95.86216501,91.58417202
2012.2500,94.11735543,99.59242316,94.33987904,97.31130162,101.39329811,94.16781647,99.41078069,96.37525005,92.49527534
2012.5000,94.29879057,99.55718324,94.02624231,97.77199514,101.44430671,94.39962248,99.95252689,96.12323548,92.64354815
2012.7500,94.45030473,99.44488693,94.06979713,97.63201160,101.75299618,94.64490954,100.05286091,96.40231901,92.49803623
2013.0000,94.89438761,99.39122353,94.76795561,97.55623951,101.59968801,95.18264311,99.82614161,96.97298097,93.11366543
2013.2500,94.79352798,99.44924003,94.54525388,97.85755572,101.32570609,95.05062819,99.98082769,96.59665693,93.29037124
2013.5000,94.95848625,99.44349036,94.60363292,98.12373310,101.15026413,95.25504950,100.12823297,96.53622317,93.64774949
2013.7500,95.09272769,99.47197063,94.38933895,98.49889632,101.07070793,95.37843250,100.51432441,96.32067962,93.86973565
2014.0000,94.93196740,99.49811795,94.24802423,98.08882474,101.34041900,95.13831981,100.43800752,96.50522158,93.40876878
2014.2500,95.70585218,99.47248327,95.54495938,98.18114875,100.76974958,96.04048187,99.98837498,97.30366112,94.80409811
2014.5000,96.05384767,99.54289809,95.52442774,98.57465089,100.65188342,96.34047545,100.39327486,97.28677752,95.27899334
2014.7500,96.45830996,99.54793526,95.68133778,98.56026356,100.85981658,96.72553184,100.63432646,97.69481771,95.46742507
2015.0000,97.08445132,99.62783778,96.73337130,98.59857133,100.32409334,97.34547471,100.25825661,98.36166014,96.66989095
