time,actual_y,cf_A,cf_L,cf_X,cf_G,cf_noA,cf_noL,cf_noX,cf_noG
1998.7500,102.89119794,101.48921931,98.02181018,101.95986424,101.91815315,101.29063269,104.87367267,100.82307692,100.86433983
1999.0000,103.70424062,102.19364797,97.77086328,102.20314199,101.99806567,101.37805982,105.96402046,101.36864245,101.57245325
1999.2500,103.75008256,102.07959988,98.04769449,102.35709968,101.71634047,101.57221967,105.74906016,101.29684775,101.93496438
1999.5000,103.80607812,102.17404034,98.37434388,102.29304734,101.39105930,101.55813758,105.48080767,101.43998557,102.34240887
1999.7500,104.29480381,102.64544295,98.47674927,102.32318587,101.23626960,101.57510526,105.87495779,101.89500634,102.98899509
2000.0000,105.24466852,103.46290891,98.79400558,102.12701700,101.16971235,101.68057668,106.48589639,103.01062884,103.98535291
2000.2500,104.81438860,102.14980091,100.24939792,102.33461649,100.43883514,102.68664836,104.63325371,102.50119702,104.43590542
2000.5000,105.94906253,103.54101945,99.81190492,102.27962288,100.56849089,102.35897934,106.18325618,103.62135459,105.38442982
2000.7500,105.36285586,103.58884687,99.74816883,102.04342740,100.21797118,101.75258281,105.67043830,103.29359752,105.17507584
2001.0000,105.20642637,103.56837893,99.88443475,101.82485774,100.12233984,101.61970236,105.36764680,103.35971073,105.11727810
2001.2500,104.22767119,102.73722096,99.91154761,101.23284722,100.47063619,101.44632430,104.31540382,102.95387042,103.73492028
2001.5000,104.01287423,103.09731480,99.03217964,101.03088667,100.91190959,100.81440738,104.95270055,102.87640777,102.99770103
2001.7500,102.99067082,102.43733268,98.77870226,100.87339322,100.95493454,100.45788764,104.17871282,102.01538511,101.93298725
2002.0000,102.54328583,102.40587807,98.39253259,100.68775702,101.09346339,100.02285735,104.10270235,101.72963265,101.32137322
2002.2500,102.75609561,102.83589471,97.99668804,100.78320929,101.17499629,99.79411140,104.72207723,101.82665153,101.43234109
2002.5000,102.59323948,102.83563403,98.18247030,100.70494170,100.91743325,99.65323726,104.37610508,101.76167787,101.54740868
2002.7500,102.36502481,102.67733300,98.16165973,100.76625932,100.81917476,99.59614397,104.17780698,101.48502593,101.43176102
2003.0000,101.74328557,102.50100915,98.27812675,100.55603328,100.48557734,99.17663959,103.43812990,101.09493494,101.16581813
2003.2500,101.50649281,102.22929435,98.49071286,100.41593504,100.45221513,99.21303542,102.97903536,101.00467219,100.96819258
2003.5000,101.62249953,102.50696309,98.08468443,100.46558083,100.64530267,99.03269204,103.49771288,101.04495912,100.86452361
2003.7500,102.43642376,103.73118154,97.68239064,100.60201418,100.52511639,98.63396019,104.74167518,101.70191238,101.77971037
2004.0000,102.79959810,103.92909678,97.67459699,100.80258731,100.50528838,98.80435224,105.13119483,101.86888412,102.17021663
2004.2500,102.60537013,103.75188436,97.84649399,100.72917607,100.38762529,98.79677389,104.75951709,101.76149413,102.10771925
2004.5000,102.54977765,103.75960376,97.76119797,101.28116902,99.91966641,98.79295154,104.85466339,101.21049753,102.58958896
2004.7500,102.65360744,103.79131138,97.90816383,101.35891455,99.76944364,98.88011099,104.82166132,101.25302184,102.86612829
2005.0000,102.71523548,103.93668399,98.14644788,101.50225840,99.33389353,98.84094622,104.67215486,101.21154301,103.42089519
2005.2500,102.96524811,104.21598030,97.62694969,101.72555787,99.57948724,98.79417333,105.46198211,101.21283026,103.39410161
2005.5000,102.72359835,103.61011946,98.15301895,101.68857500,99.43738945,99.16901944,104.68260744,101.04295347,103.33048775
2005.7500,102.79406851,103.51119517,98.56121600,101.65156995,99.23107985,99.35578322,104.34566744,101.17340906,103.64127734
2006.0000,102.61470104,103.42170112,98.88516260,101.85567500,98.66128870,99.32602496,103.88278886,100.85315784,104.11851094
2006.2500,103.00636215,103.44842685,98.67339925,102.07314101,98.97949450,99.66456559,104.48755796,101.00739941,104.16442896
2006.5000,102.60948225,102.86682990,99.02831725,101.92440762,98.93423167,99.85498355,103.72553926,100.77827135,103.82418133
2006.7500,102.02009721,102.20479048,99.37435301,101.81797934,98.76820408,99.94866512,102.79546048,100.32837464,103.42632502
2007.0000,102.08937554,101.78533031,99.34480966,101.43109031,99.57261612,100.36090950,102.82639182,100.71141198,102.59114124
2007.2500,101.50382237,101.10300535,99.57035740,101.29320899,99.58374440,100.46677825,102.01322445,100.27812644,101.99951086
2007.5000,101.57323798,101.47180460,99.16274645,101.30795260,99.66563466,100.14886234,102.48088273,100.31083966,101.96378947
2007.7500,101.56355244,101.49944696,99.08703949,101.00105653,99.97148681,100.07303321,102.50944603,100.56684431,101.60254540
2008.0000,101.26257566,101.13368670,99.39305131,100.54555782,100.16293694,100.11377405,101.86703120,100.69937726,101.08404734
2008.2500,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000,100.00000000
2008.5000,99.81356062,100.24459708,99.96505571,99.48063587,100.11599349,99.52907836,99.80740056,100.29341159,99.65692803
